,Homeboxyes&no,latitude,longitude
0,Homebox ,48.8742855,2.284862
1,Homebox ,48.8792006,2.2960456
2,Homebox ,48.8655925,2.4255664
3,Homebox ,48.8624066,2.4160583
4,Homebox ,48.9062827,2.3948769
6,Homebox ,48.9467401,2.3441592
7,Homebox ,48.9081289,2.2282244
8,Homebox ,48.922232,2.2288083
9,Homebox ,48.7602597,2.4981365
10,Homebox ,48.9782826,2.2350126
11,Homebox ,48.695671,2.2893848
13,Homebox ,48.8301492,2.6751953
14,Homebox ,48.6274773,2.4055796
15,Homebox ,48.9634253,2.0337488
17,Homebox ,48.8016353,1.9686476
18,Homebox ,48.760268,1.929617
19,Homebox ,48.5879563,2.5906647
20,Homebox ,49.236769,2.46682932935138
22,Privat ,48.8561374,2.3573818
23,Privat ,48.8585635,2.3533957
24,Privat ,48.8585635,2.3533957
25,Privat ,48.8641217,2.3515042
26,Privat ,48.8675804,2.3524475
27,Privat ,48.8565526,2.3690147
28,Privat ,48.8612416,2.3398064
29,Privat ,48.8689405,2.3467031
30,Privat ,48.8590863,2.3793477
31,Privat ,48.8590863,2.3793477
32,Privat ,48.8760238,2.3581927
33,Privat ,48.8760238,2.3581927
34,Privat ,48.83888,2.3529777
35,Privat ,48.8695072,2.3314533
36,Privat ,48.8748629,2.342939
37,Privat ,48.8767507,2.3539485
38,Privat ,48.875932,2.3590599
39,Privat ,48.8545046,2.3217642
40,Privat ,48.8470123,2.3170113
41,Privat ,48.8775664,2.3408453
42,Privat ,48.8775664,2.3408453
43,Privat ,48.8775664,2.3408453
44,Privat ,48.8775664,2.3408453
45,Privat ,48.8670809,2.3828135
46,Privat ,48.8794073,2.3579688
47,Privat ,48.8393697,2.3270221
48,Privat ,48.8609677,2.315073
49,Privat ,48.858221,2.3897289
50,Privat ,48.858221,2.3897289
51,Privat ,48.8827635,2.3411863
52,Privat ,48.8832395,2.327564
53,Privat ,48.8774242,2.3229613
54,Privat ,48.8283988,2.3310718
55,Privat ,48.8244866,2.3488965
56,Privat ,48.8716772,2.3108842
57,Privat ,48.8884694,2.3534489
58,Privat ,48.8755997,2.3996904
59,Privat ,48.8259327,2.3317996
60,Privat ,48.8255732,2.3277215
61,Privat ,48.8635663,2.4039909
62,Privat ,48.8635663,2.4039909
63,Privat ,48.8823641,2.3822691
64,Privat ,48.8228157,2.3405299
65,Privat ,48.8248102,2.3288031
66,Privat ,48.8248102,2.3288031
67,Privat ,48.883295,2.3156987
68,Privat ,48.8913662,2.3778761
69,Privat ,48.8913662,2.3778761
70,Privat ,48.8571532,2.4068848
71,Privat ,48.8420907,2.3005718
72,Privat ,48.8906921,2.3759132
73,Privat ,48.8954397,2.3464797
74,Privat ,48.8928256,2.3732515
75,Privat ,48.891185,2.3247045
76,Privat ,48.8959557,2.3790332
77,Privat ,48.8405241,2.2956736
78,Privat ,48.8867029,2.3115228
79,Privat ,48.8841181,2.3053055
80,Privat ,48.8841181,2.3053055
81,Privat ,48.8461642,2.2952455
82,Privat ,48.8877205,2.310182
83,Privat ,48.8356114,2.3007292
84,Privat ,48.8693149,2.2882132
85,Privat ,48.8693149,2.2882132
86,Privat ,48.8815753,2.2981856
87,Privat ,48.8514798,2.2786209
88,Privat ,48.883379,2.4083045
89,Privat ,48.8849997,2.2979171
90,Privat ,48.8481148,2.2867978
91,Privat ,48.8652962,2.2750358
92,Privat ,48.8839878,2.2909574
93,Privat ,48.8865459,2.2927877
94,Privat ,48.8594328,2.27611
95,Privat ,48.8882269,2.4126201
96,Privat ,48.8948627,2.4034592
97,Privat ,48.8948627,2.4034592
98,Privat ,48.8607304,2.273565
99,Privat ,48.9051021,2.3105665
100,Privat ,48.79755,2.3293376
101,Privat ,48.8099471,2.4143278
102,Privat ,48.794469,2.321253
103,Privat ,48.794469,2.321253
104,Privat ,48.814455,2.4281418
105,Privat ,48.8978242,2.2631733
106,Privat ,48.8017227,2.4232787
107,Privat ,48.7858324,2.3160157
108,Privat ,48.8396197,2.2405072
109,Privat ,48.7783718,2.3133625
110,Privat ,48.9187349,2.2755412
111,Privat ,48.8862344,2.2394497
112,Privat ,48.8839807,2.2364282
113,Privat ,48.9237745,2.279563
114,Privat ,48.7729985,2.3554708
115,Privat ,48.9219072,2.2724462
116,Privat ,48.9102699,2.2507422
117,Privat ,48.9079713,2.4657626
118,Privat ,48.7651356,2.3816609
119,Privat ,48.8171715,2.5098016
120,Privat ,48.8981328,2.207561
121,Privat ,48.9093055,2.5034821
122,Privat ,48.9093055,2.5034821
123,Privat ,48.8871983,2.1821142
124,Privat ,48.8762813,2.1707011
125,Privat ,48.9879012,2.3437595
126,Privat ,48.8457291,2.1527222
128,Privat ,48.7460871,2.5054678
129,Privat ,48.9027338,2.1275445
130,Privat ,48.8090525,2.5786685
131,Privat ,48.8679568,2.0555147
132,Privat ,48.9303025,2.0423951
134,Privat ,48.6385682,2.43662133068529
135,Privat ,49.0341876,2.0899987
136,Privat ,49.045041,2.0905109
137,Privat ,48.621038,2.155761
138,Privat ,48.8267667,1.9436929
139,Privat ,48.8267667,1.9436929
140,Privat ,48.8267667,1.9436929
141,Privat ,48.8267667,1.9436929
142,Privat ,48.8267667,1.9436929
143,Privat ,48.8267667,1.9436929
144,Privat ,48.8267667,1.9436929
145,Privat ,49.1280697,2.5285555
146,Privat ,49.1523279,2.4433127
147,Privat ,48.9892045,1.9047346
148,Privat ,48.5375743,2.6553919
149,Privat ,48.53471,2.6497384
150,Privat ,48.5364231,2.6636776
151,Privat ,48.5324413,2.6577178
152,Privat ,48.5324413,2.6577178
153,Privat ,49.2382425,2.1249154
154,Privat ,48.9790341,1.7073323
155,Homebox ,45.7135218,4.8779854
156,Homebox ,45.7634599,4.9402659
158,Homebox ,45.8036737,4.7810505
159,Privat ,45.7636633,4.8596299
160,Privat ,45.7677584,4.8652706
161,Privat ,45.7391106,4.8642229
162,Privat ,45.736692,4.8528088
163,Privat ,45.729632,4.8534242
164,Privat ,45.7355643,4.8705927
165,Privat ,45.7281791,4.7791809
166,Privat ,45.7473326,4.7230184
167,Privat ,45.7415394,4.7114498
168,Privat ,45.7415394,4.7114498
169,Privat ,45.8213739,4.6616717
170,Privat ,45.9044447,5.1419608
171,Privat ,46.1936032,4.6955726
172,Homebox ,43.3147841,5.3892415
173,Homebox ,43.3287959,5.3590541
176,Privat ,43.3006866,5.3805259
177,Privat ,43.2815591,5.3984457
178,Privat ,43.2841461,5.4440496
179,Privat ,43.3750337,5.3577013
180,Privat ,43.1928757,5.63993643327305
181,Privat ,43.1400246,5.7477876
182,Homebox ,43.5734082,1.40755389453829
184,Privat ,43.584407,1.4479353
185,Privat ,43.6304764,1.4543159
186,Privat ,43.6081641,1.2669117
187,Privat ,43.5655313,1.6244759
188,Homebox ,44.8882358,-0.6041683
189,Homebox ,44.8699167,-0.5475566
191,Privat ,44.8676281,-0.5841356
192,Privat ,44.8577716,-0.5358992
193,Privat ,44.942874,-0.5360606
194,Privat ,44.9113014,-0.7261712
195,Homebox ,43.7065922,7.2851773
196,Homebox ,43.5743392,6.98498
197,Privat ,43.6929325,7.2421566
198,Homebox ,50.6117047,3.1027999
199,Homebox ,50.653414,3.1157804
201,Privat ,50.6182287,2.9090294
202,Privat ,50.721166,3.1748845
203,Privat ,50.5382251,2.8103434
205,Privat ,50.3608955,3.0808024
206,Privat ,50.2914348,2.7792978
207,Privat ,50.258728,3.3111878
208,Homebox ,47.2607566,-1.4995713
209,Homebox ,47.3731362,-1.1916249
210,Homebox ,47.3265455,-2.1313124
211,Privat ,47.1246733,-1.5993497
212,Homebox ,43.5856615,3.8783262
214,Privat ,43.6269298,3.8706832
215,Privat ,43.6102005,3.8527325
216,Privat ,43.5955292,3.8878467
217,Privat ,43.5924159,3.8797917
218,Privat ,43.6096785,3.9033333
219,Privat ,43.6137198,3.8392195
220,Privat ,43.5921718,3.8445068
221,Privat ,43.6128004,3.8298122
222,Privat ,43.5719114,3.9043288
223,Privat ,43.5925383,3.767092
